x= 1049.000000 , y= 2755.000000 , theta = 0.000000 , id = 10113539888386493330
x= 1593.000000 , y= 2881.000000 , theta = 0.000000 , id = 11763046553120314647
I am done with best solution cost = 66292
Time = 3026ms
43 
1049.000000 2755.000000 0.000000
975.214488 2711.942919 4.088361
1025.423469 2808.957466 2.635161
1227.497164 3478.553310 5.202984
1568.809360 3518.703224 3.037444
1475.412852 3818.154180 4.982972
1543.350908 4202.182101 2.574607
1388.644607 4239.390530 6.233602
997.098481 4508.340112 0.790039
1285.717761 4871.409458 6.152424
1090.483838 5043.212032 2.809937
955.158456 4662.499457 6.113949
1461.370684 4843.887384 4.829496
1905.092114 4881.493663 4.003836
1727.998339 4441.891255 0.636825
1638.794779 4155.084688 2.486861
1904.090113 4114.784921 0.225263
1609.552822 4739.403079 6.228194
1295.547545 5084.606383 2.903267
647.642868 4806.631899 1.070109
156.651491 4735.894623 5.229636
226.669741 4748.199096 1.558066
892.474087 3897.265922 4.997337
1263.264081 3571.855919 1.239027
1364.322847 3285.208125 1.192040
1828.229912 2812.220077 4.383139
1817.646843 3215.460553 0.305671
1847.860573 2552.705601 3.440182
1892.133936 3230.856936 1.477595
2169.233094 2916.274174 2.486363
2841.552340 1848.908253 3.127259
3008.603732 239.300822 5.533720
1934.868796 3590.313780 1.515375
787.708569 3958.531526 4.991282
1825.242527 5148.559860 0.578794
2996.878465 5118.808938 6.139372
2458.606970 4969.809014 2.235344
2435.918653 5022.477967 2.712459
2857.056130 4954.703004 4.862849
3130.872023 4827.395727 4.220690
2360.935448 5071.899772 4.838323
2314.130940 4551.963221 3.959261
1593.000000 2881.000000 0.000000
I am done with best solution cost = 53888.8
Time = 11470ms
10 
1049.000000 2755.000000 0.000000
975.214488 2711.942919 4.088361
1025.423469 2808.957466 2.635161
1222.201652 3517.233910 5.973172
1495.937987 4845.178251 6.121055
1574.597105 4426.305051 4.458277
1016.219537 4114.483591 6.076276
1053.866159 3554.667449 4.176175
1552.999809 2907.731151 2.813544
1593.000000 2881.000000 0.000000
I am done with best solution cost = 21164.4
Time = 11876ms
24 
1049.000000 2755.000000 0.000000
975.214488 2711.942919 4.088361
1025.423469 2808.957466 2.635161
1222.201652 3517.233910 5.973172
1495.937987 4845.178251 6.121055
1574.597105 4426.305051 4.458277
1016.219537 4114.483591 6.076276
1053.866159 3554.667449 4.176175
879.439967 3782.679873 1.051139
1118.776260 3589.313875 5.920621
1858.664828 3817.237882 1.821405
2162.309366 3563.311556 5.581379
2578.255167 3440.301318 2.104328
2874.239286 3557.421210 0.021736
2797.475277 3158.616558 3.130639
2698.783364 3123.954773 5.086006
3059.582504 3397.868034 2.778575
3170.955958 3923.506818 5.594505
2765.970155 4099.965322 5.530891
3086.607766 4417.263038 6.101700
2558.292333 4350.207900 4.172170
1491.521384 4825.435532 3.893079
1686.209385 3100.388554 0.008397
1593.000000 2881.000000 0.000000
time is done 
