I am done with best solution cost = 35462.4
Time = 884ms
27 
1049.000000 2755.000000 0.000000
1010.004638 3013.403070 2.151620
1434.687128 3956.179800 1.348451
2086.129850 3771.868513 2.447257
1970.748526 4381.387185 6.230200
2503.729072 3941.900356 0.734689
3167.975873 3681.574279 1.143707
2784.275238 3411.677730 1.756733
2656.428474 3027.150952 5.862368
2734.279790 2556.305267 3.284546
2877.709367 3614.407242 2.082533
2754.526385 2153.141841 5.374724
3020.716259 1733.512148 4.271637
2320.196939 1615.969386 3.155834
3139.986062 1982.244510 5.078136
2990.453897 813.546440 4.200091
3142.507194 1951.715311 4.166841
2520.580617 988.331016 2.596845
3027.688259 934.957036 0.812550
3029.764811 2595.174227 2.860319
2245.922251 2989.064112 1.746701
979.509515 3860.428082 4.814567
642.846923 4423.236975 5.991007
258.980573 4659.185147 3.109616
384.040202 5028.928625 1.852761
1988.254203 5105.531736 6.058977
1593.000000 2881.000000 0.000000
I am done with best solution cost = 24588.7
Time = 3628ms
20 
1049.000000 2755.000000 0.000000
1010.004638 3013.403070 2.151620
1434.687128 3956.179800 1.348451
1630.623831 3842.820433 5.832814
1437.440746 3586.843760 6.065707
1914.359956 3993.746294 5.401175
1530.747100 4612.213019 4.508970
1181.172603 4031.805195 5.057521
1678.640519 4175.510178 0.443454
1262.489765 4975.160849 2.513758
486.701462 4668.213770 0.729391
423.073155 5114.251547 4.998168
1142.463180 3772.513297 1.978766
1446.521684 3383.165067 5.568091
2933.249141 2378.623370 3.683170
2793.390749 2277.174508 4.304562
2589.578032 1781.841475 4.822696
2228.767535 1817.747544 5.177132
1586.898071 3385.378643 0.918586
1593.000000 2881.000000 0.000000
I am done with best solution cost = 8050.15
Time = 4624ms
8 
1049.000000 2755.000000 0.000000
1010.004638 3013.403070 2.151620
1964.182004 3490.421426 1.444134
3015.745526 3291.048234 5.955748
1905.758912 2695.246032 6.169022
782.072725 4113.344029 6.267422
1880.821960 3207.521428 1.521902
1593.000000 2881.000000 0.000000
I am done with best solution cost = 1817.35
Time = 5669ms
5 
1049.000000 2755.000000 0.000000
1010.004638 3013.403070 2.151620
1655.043222 3253.993928 5.463688
1584.846671 3144.947702 1.187492
1593.000000 2881.000000 0.000000
