x= 1049.000000 , y= 2755.000000 , theta = 0.000000 , id = 10113539888386493330
x= 1593.000000 , y= 2881.000000 , theta = 0.000000 , id = 11763046553120314647
I am done with best solution cost = 67277.1
Time = 3696ms
100 
1049.000000 2755.000000 0.000000
992.151906 2906.243590 2.388083
1384.819593 3294.379796 4.138325
1768.564929 3326.913959 2.228530
1974.003130 3585.095849 2.172827
2436.913776 3720.175762 2.339031
2532.058536 4056.920492 1.934374
2579.409734 3998.065825 3.295253
2737.100959 3889.088397 3.510013
3204.248146 4080.644079 3.976942
2769.963545 3928.435569 2.433469
3090.000665 3934.458957 1.925089
2731.059249 3510.513109 3.309947
2521.093533 3123.547215 2.431506
2777.046900 2927.747138 6.048558
2579.260847 2893.967272 2.719108
2635.590446 3098.385941 0.211480
2745.606217 2939.323263 4.795481
2645.500745 2575.924801 1.872629
2606.808834 2666.174601 0.052026
2716.729919 2542.367121 2.655449
3090.851832 2719.095376 2.624108
2728.175723 2574.960845 0.250668
2511.443633 2430.704401 4.862821
2386.294707 1990.796899 5.156129
2777.333584 1848.558927 4.341697
2771.166349 1755.697724 1.998630
2491.024281 1910.251339 1.591398
2441.117361 1635.414049 5.086156
2716.724241 1161.636506 0.517999
2479.942217 960.914096 1.971493
2408.009568 1425.001143 2.152794
2747.166393 1812.705742 4.230701
2725.175134 2145.055200 2.451433
2288.008185 2293.106751 2.822522
2469.255574 2451.003006 3.808786
2062.454385 2088.316782 1.244469
2419.344599 1565.244634 5.411486
2627.459125 965.393733 4.026981
3209.422632 867.545544 4.160645
3018.861893 760.861282 0.677664
2910.883368 775.905746 5.948290
2717.512362 1506.467923 3.332186
3206.051608 1636.653563 2.198169
3247.110755 2704.883659 1.183117
3029.257564 2964.544088 0.141430
2645.528791 3510.717656 1.237394
3132.506845 3405.708577 5.659689
3099.834014 4362.498212 2.719289
2829.049928 3859.413064 1.871673
3123.433173 4550.502302 1.660022
2654.777782 4424.930372 1.343576
2086.674543 4348.800221 5.761485
1885.501990 4762.524774 3.196487
1393.112560 4767.010811 0.035809
1826.168725 5026.525623 2.726265
1267.998783 4844.665583 0.024856
919.118247 5098.036416 1.797399
378.039807 4984.536749 2.793428
287.409267 5009.214808 1.121764
240.351335 4945.038705 1.910484
451.245394 5073.535178 1.515213
928.287383 4313.340497 1.172723
1288.612466 4511.534622 3.735880
881.353998 4275.986185 1.725869
757.953813 4820.365321 2.791845
1455.265861 4759.730271 5.556585
1217.866784 4007.492084 1.286880
1147.854288 3833.173522 1.625592
1063.045549 4403.962422 3.001650
1038.066266 4328.419335 1.899338
363.928804 4974.832996 4.824042
882.633621 5003.419055 5.758846
1080.787170 3763.216398 2.668028
1710.560070 3398.978259 3.490741
1641.713565 3851.528732 4.746831
1950.409095 3343.991608 2.562396
2023.963696 3514.315482 3.337312
2042.272077 3710.438544 1.125554
2596.528391 3114.786886 1.068696
1979.762257 3362.270729 0.776235
1825.543026 3766.461790 1.953428
1239.861440 3370.033940 5.716932
1041.144669 3169.969546 1.107736
1334.185450 3795.091779 4.413096
2005.902018 3263.088257 1.405651
1913.996872 3328.148851 3.683030
2522.442384 2774.182923 2.099812
2229.700313 3058.753676 3.484537
3110.761758 3061.942623 3.458717
1672.116712 3210.639074 3.027029
2309.332231 2915.274679 1.041414
3189.825632 2853.529116 4.271253
1751.334841 2624.388174 5.587049
3127.843054 2532.123182 5.092326
3211.270447 2727.513385 6.062555
1919.621283 2485.363495 2.761400
2896.042819 2377.811334 3.344508
2204.066018 4045.938740 0.952717
1593.000000 2881.000000 0.000000
I am done with best solution cost = 18817.5
Time = 6965ms
29 
1049.000000 2755.000000 0.000000
992.151906 2906.243590 2.388083
1384.819593 3294.379796 4.138325
1768.564929 3326.913959 2.228530
1974.003130 3585.095849 2.172827
2436.913776 3720.175762 2.339031
2532.058536 4056.920492 1.934374
2579.409734 3998.065825 3.295253
2737.100959 3889.088397 3.510013
3204.248146 4080.644079 3.976942
2769.963545 3928.435569 2.433469
3090.000665 3934.458957 1.925089
2731.059249 3510.513109 3.309947
2521.093533 3123.547215 2.431506
2777.046900 2927.747138 6.048558
