I am done with best solution cost = 92.92
Time = 39ms
35 
0.100000 0.100000 0.000000
0.516820 3.696758 3.988584
0.610435 4.853596 3.876414
1.243653 7.486190 4.428890
2.056164 7.605805 3.144156
2.752003 5.140866 2.925601
2.080180 4.343756 3.999091
3.163897 0.323176 5.094492
3.634052 0.212466 1.700665
4.052493 0.242763 1.414282
4.955811 1.383991 4.582234
4.498267 2.835534 1.614924
4.936088 7.136766 2.201360
6.763858 7.645640 1.158513
6.035307 6.866996 4.085425
6.036562 3.509510 4.792426
6.521662 0.323808 5.234311
8.729580 0.781926 5.295587
9.500260 0.255612 2.129153
9.428462 1.451249 5.218180
9.158213 2.013784 6.137947
9.774688 1.575799 2.997162
8.685170 3.567084 5.240544
9.889306 6.288997 1.671483
8.165237 7.262632 3.581430
9.487675 8.090743 2.953249
9.461182 9.017674 5.753966
8.928374 9.670555 5.573680
6.747271 9.608589 0.196812
7.362731 9.400211 0.411025
2.190618 9.261075 0.324563
3.379474 9.308061 3.740180
6.665209 9.968010 6.026946
1.450310 9.872273 1.455247
0.100000 9.100000 0.000000
I am done with best solution cost = 83.817
Time = 373ms
35 
0.100000 0.100000 0.000000
0.516820 3.696758 3.988584
0.610435 4.853596 3.876414
1.243653 7.486190 4.428890
2.056164 7.605805 3.144156
2.523217 5.654058 3.988158
2.644936 5.360262 1.494136
2.080180 4.343756 3.999091
3.163897 0.323176 5.094492
3.634052 0.212466 1.700665
4.052493 0.242763 1.414282
4.955811 1.383991 4.582234
4.498267 2.835534 1.614924
4.936088 7.136766 2.201360
6.763858 7.645640 1.158513
6.035307 6.866996 4.085425
6.036562 3.509510 4.792426
6.521662 0.323808 5.234311
8.729580 0.781926 5.295587
9.500260 0.255612 2.129153
9.428462 1.451249 5.218180
9.158213 2.013784 6.137947
9.774688 1.575799 2.997162
8.685170 3.567084 5.240544
9.889306 6.288997 1.671483
8.165237 7.262632 3.581430
9.487675 8.090743 2.953249
9.461182 9.017674 5.753966
8.928374 9.670555 5.573680
6.747271 9.608589 0.196812
7.362731 9.400211 0.411025
2.190618 9.261075 0.324563
1.729767 9.425090 2.681520
0.470054 9.736343 0.470354
0.100000 9.100000 0.000000
time is done 
